20120106d,라파엘라 이展 / Raphaella*** Yi / painting,나의 맨드라미,solo exhibition,라파엘라 이,나의 맨드라미,목판,30×40cm,2011,https://neolook.com/archives/2012010601d.jpg
20120106d,라파엘라 이展 / Raphaella*** Yi / painting,나의 맨드라미,solo exhibition,라파엘라 이,나의 맨드라미,캔버스에 유채,60.6×91cm,2010,https://neolook.com/archives/2012010602d.jpg
20120106d,라파엘라 이展 / Raphaella*** Yi / painting,나의 맨드라미,solo exhibition,라파엘라 이,나의 맨드라미,캔버스에 유채,72.7×72.7cm,2011,https://neolook.com/archives/2012010603d.jpg
20120106d,라파엘라 이展 / Raphaella*** Yi / painting,나의 맨드라미,solo exhibition,라파엘라 이,나의 맨드라미,캔버스에 유채,72.7×72.7cm,2011,https://neolook.com/archives/2012010604d.jpg
20120106d,라파엘라 이展 / Raphaella*** Yi / painting,나의 맨드라미,solo exhibition,라파엘라 이,나의 맨드라미,캔버스에 유채,116.7×91cm,2011,https://neolook.com/archives/2012010605d.jpg
20120106d,라파엘라 이展 / Raphaella*** Yi / painting,나의 맨드라미,solo exhibition,라파엘라 이,나의 맨드라미,캔버스에 유채,145.5×112cm,2011,https://neolook.com/archives/2012010606d.jpg
20120106d,라파엘라 이展 / Raphaella*** Yi / painting,나의 맨드라미,solo exhibition,라파엘라 이,나의 맨드라미,캔버스에 유채,145.5×112cm,2011,https://neolook.com/archives/2012010607d.jpg
20120106e,2012_0106 ▶ 2012_0120,김성렬 윤근영 강서영 윤영완,other,윤근영,연못,철 오일 모터,120×180×180cm,2009,https://neolook.com/archives/2012010608e.jpg
20120106e,2012_0106 ▶ 2012_0120,김성렬 윤근영 강서영 윤영완,other,윤근영,졸도를 위한 기도,왁스 철 황동 고무판,75×150×200cm,2011,https://neolook.com/archives/2012010609e.jpg
20120106e,2012_0106 ▶ 2012_0120,김성렬 윤근영 강서영 윤영완,other,강서영,불가능한 노래,수지점토 마닐라 삼 아크릴,60×210×62cm,2011,https://neolook.com/archives/2012010610e.jpg
20120106e,2012_0106 ▶ 2012_0120,김성렬 윤근영 강서영 윤영완,other,강서영,Blossom,수지점토,48×50×50cm,2008,https://neolook.com/archives/2012010611e.jpg
20120106e,2012_0106 ▶ 2012_0120,김성렬 윤근영 강서영 윤영완,other,윤영완,무제,종이에 크레파스,78.8×109cm,2011,https://neolook.com/archives/2012010612e.jpg
20120106e,2012_0106 ▶ 2012_0120,김성렬 윤근영 강서영 윤영완,other,윤영완,무제,종이에 크레파스,78.8×109cm,2011,https://neolook.com/archives/2012010613e.jpg
20120108a,공기평展 / KONGKIPYUNG / 孔基枰 / painting,FunnyFunny 11- 호접몽 胡蝶夢 (The Butterfly Dream),solo exhibition,공기평,FunnyFunny 11-胡蝶夢(The Butterfly Dream)1,캔버스에 아크릴채색 유채,72.7×60.6cm,2011,https://neolook.com/archives/2012010801a.jpg
