20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,권오상,140장으로 구성된 증명의 강요,컬러인화지와 혼합재료,51×30×71cm,1998,https://neolook.com/archives/2000092714a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,김민혁,Another Man 연작중 박상준,컬러인화,125×100cm,1998,https://neolook.com/archives/2000092715a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,김민혁,Another Man 연작중 황인창,컬러인화,125×100cm,1998,https://neolook.com/archives/2000092716a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,김민혁,Another Man 연작중 심명보,컬러인화,125×100cm,1998,https://neolook.com/archives/2000092717a.jpg
20000929a,김소영展 / KIMSOYOUNG / printing,Peep show,exhibition,김소영,HAMLET,우드컷 프린트,126×198cm,2000,https://neolook.com/archives/2000092901a.jpg
20001001a,고명근展 / KOHMYUNGKEUN / 高明根 / photography,복제 파라다이스,solo exhibition,고명근,슬레이트 지붕복제-3,컬러인화,180×248cm,2000,https://neolook.com/archives/2000100101a.jpg
20001001a,고명근展 / KOHMYUNGKEUN / 高明根 / photography,복제 파라다이스,solo exhibition,고명근,복제 파라다이스 #3.,플라스틱에 채색,40×25×19cm,2000,https://neolook.com/archives/2000100102a.jpg
20001002a,김이진展 / KIMYIJIN / 金利珍 / printmaking,기억의 흐름,exhibition,김이진,숨기고픈 상처난 마음,천위에 석판화 오브제,100×30×5cm,2000,https://neolook.com/archives/2000100201a.jpg
20001003a,최근 아시아 작가들의 모습展,동녘에 해가 솟는다,exhibition,양젠종,닭 가족 시리즈,컬러인화,60×100cm,1998,https://neolook.com/archives/2000100301a.jpg
20001008a,한국현대미술 다시읽기_80년대 소그룹 운동의 비평적 재조명,현장의 미술*** 열정의 작가들展 ②,other,고낙범,PORTRAIT MUSEUM,캔버스에 유채,각각 227.3×181.8cm,1997,https://neolook.com/archives/2000100802a.jpg
20001010a,부산국제아트페스티발·PICAF 2000,고도를 떠나며,other,큐레이터,이영철,Rosa Martinez,Hanru Hou,Tom van Vliet,https://neolook.com/archives/2000101001a.jpg
20001012a,김차섭展 / KIMTCHAHSUP / 金次燮 / painting,침묵의 목소리로 뿜어내는 웅변,solo exhibition,김차섭,vision,칠판에 유채,25×17cm,1999,https://neolook.com/archives/2000101201a.jpg
20001012a,김차섭展 / KIMTCHAHSUP / 金次燮 / painting,침묵의 목소리로 뿜어내는 웅변,solo exhibition,김차섭,self portrait,종이에 파스텔,26×31cm,1982-83,https://neolook.com/archives/2000101202a.jpg
20001012a,김차섭展 / KIMTCHAHSUP / 金次燮 / painting,침묵의 목소리로 뿜어내는 웅변,solo exhibition,김차섭,north east asia,캔버스에 유채,187×187cm,1999,https://neolook.com/archives/2000101203a.jpg
20001015a,강수미展 / painting,봄***seeing & scanning,solo exhibition,강수미,죽은 아이로부터 3,캔버스에 유채,97×130cm,2000,https://neolook.com/archives/2000101501a.jpg
20001016a,이기수展 / LEEKEESOO / 李基洙 / mixed media,즉물적 오브제,solo exhibition,이기수,자화상,흑백인화,115×90cm,2000,https://neolook.com/archives/2000101601a.jpg
20001017a,김석展 / KIMSUK / 金錫 / sculpture,참을 수 없는 지식의 무거움,solo exhibition,김석,지식의 숲,석고 잔디,45×45×7㎝,2000,https://neolook.com/archives/2000101701a.jpg
20001017a,김석展 / KIMSUK / 金錫 / sculpture,참을 수 없는 지식의 무거움,solo exhibition,김석,지식의무게-Ⅰ,석고 강철,700×600×100㎝,2000,https://neolook.com/archives/2000101702a.jpg
20001028a,정정엽展 / JUNGJUNGYEOB / 鄭貞葉 / painting,봇물,solo exhibition,정정엽,봇물Ⅱ,캔버스에 유채,162×112cm,2000,https://neolook.com/archives/2000102801a.jpg
20001028a,정정엽展 / JUNGJUNGYEOB / 鄭貞葉 / painting,봇물,solo exhibition,정정엽,집,캔버스에 유채,162×112cm,1999,https://neolook.com/archives/2000102802a.jpg
20001030a,최영문展 / painting,사람살이,solo exhibition,최영문,사람살이-정체된시간,캔버스에 혼합재료,50×63cm,2000,https://neolook.com/archives/2000103001a.jpg
20001031a,김태은展 / KIMTAEEUN / 金泰恩 / painting,시각적 봉입장치,solo exhibition,김태은,Sky walker,패널 종이 나무에 아크릴채색,98×200cm,2000,https://neolook.com/archives/2000103101a.jpg
20001031a,김태은展 / KIMTAEEUN / 金泰恩 / painting,시각적 봉입장치,solo exhibition,김태은,Far east,Betacam 6mm digicam,00:00:55,1999,https://neolook.com/archives/2000103102a.jpg
20001103a,김보영_김주영_원정숙_최라윤展,다리로 걷는 물고기,exhibition,김주영,빅블루,캔버스에 아크릴채색,161×131cm,2000,https://neolook.com/archives/2000110301a.jpg
20001103a,김보영_김주영_원정숙_최라윤展,다리로 걷는 물고기,exhibition,김보연,나무1,나무에 음각 아크릴채색,40×28.5cm,2000,https://neolook.com/archives/2000110302a.jpg
20001103a,김보영_김주영_원정숙_최라윤展,다리로 걷는 물고기,exhibition,김주영,즐거운 태양,캔버스에 아크릴채색,150.5×250.5cm,2000,https://neolook.com/archives/2000110303a.jpg
20001103a,김보영_김주영_원정숙_최라윤展,다리로 걷는 물고기,exhibition,원정숙,나는 집을 갖고 싶다,캔버스에 혼합재료,73×91cm,2000,https://neolook.com/archives/2000110304a.jpg
20001103a,김보영_김주영_원정숙_최라윤展,다리로 걷는 물고기,exhibition,최라윤,풍경1,종이에 연필 콘테 오일파스텔,38×53cm,2000,https://neolook.com/archives/2000110305a.jpg
20001105a,박진화展 / PARKJINHWA / 朴珍華 / painting,나무에 기대는 당신의 그림,solo exhibition,박진화,어둠으로 가는 나무들,캔버스에 유채,218×290cm,2000,https://neolook.com/archives/2000110501a.jpg
