20180109c,김우진_정덕현_이준영展,무브! 무브! 무브! Move! Move! Move!,exhibition,김우진,In,단채널 비디오,00:13:47,2017,https://neolook.com/archives/2018010904c.jpg
20180109c,김우진_정덕현_이준영展,무브! 무브! 무브! Move! Move! Move!,exhibition,이준영,노가다 타이쿤,단채널 비디오,00:03:52,2017,https://neolook.com/archives/2018010905c.jpg
20180109c,김우진_정덕현_이준영展,무브! 무브! 무브! Move! Move! Move!,exhibition,이준영,노가다 타이쿤,단채널 비디오,00:03:52,2017,https://neolook.com/archives/2018010906c.jpg
20180109c,김우진_정덕현_이준영展,무브! 무브! 무브! Move! Move! Move!,exhibition,이준영,노가다 타이쿤,단채널 비디오,00:03:52,2017,https://neolook.com/archives/2018010907c.jpg
20180109c,김우진_정덕현_이준영展,무브! 무브! 무브! Move! Move! Move!,exhibition,정덕현,을력,종이에 물,가변크기,2017,https://neolook.com/archives/2018010908c.jpg
20180109e,2018 소장품 2018 Collection展,수직충동*** 수평충동 Vertical Impulse*** Horizontal Impulse,exhibition,토니 크랙,Point of View,코르텐강,300×80×70cm,2011,https://neolook.com/archives/2018010904e.jpg
20180109e,2018 소장품 2018 Collection展,수직충동*** 수평충동 Vertical Impulse*** Horizontal Impulse,exhibition,이수경,번역된 도자,도자기 조각 에폭시 24k 금박,300×140×120cm,2014,https://neolook.com/archives/2018010905e.jpg
20180110a,노진아展 / NOHJINA / 盧眞兒 / painting.video,꿈과 거짓의 박물관,solo exhibition,노진아,무제 1,리넨에 유채,130.3×162.2cm,2012,https://neolook.com/archives/2018011001a.jpg
20180110a,노진아展 / NOHJINA / 盧眞兒 / painting.video,꿈과 거짓의 박물관,solo exhibition,노진아,무제 2,리넨에 유채,130.3×162.2cm,2012,https://neolook.com/archives/2018011002a.jpg
20180110a,노진아展 / NOHJINA / 盧眞兒 / painting.video,꿈과 거짓의 박물관,solo exhibition,노진아,무제 3,리넨에 유채,130.3×162.2cm,2012,https://neolook.com/archives/2018011003a.jpg
20180110a,노진아展 / NOHJINA / 盧眞兒 / painting.video,꿈과 거짓의 박물관,solo exhibition,노진아,무제,종이에 수채,38×53cm,2012,https://neolook.com/archives/2018011004a.jpg
20180110a,노진아展 / NOHJINA / 盧眞兒 / painting.video,꿈과 거짓의 박물관,solo exhibition,노진아,설인,캔버스에 유채,90.9×72.7cm,2012,https://neolook.com/archives/2018011005a.jpg
20180110a,노진아展 / NOHJINA / 盧眞兒 / painting.video,꿈과 거짓의 박물관,solo exhibition,노진아,무제,리넨에 유채,60.6×72.7cm,2014,https://neolook.com/archives/2018011006a.jpg
