20010703a,2001 미메시스 영상미술제,넘나들기,other,오진희,상자 속의 아이,컴퓨터 2D 애니메이션,00:08:00,2001,https://neolook.com/archives/2001070301a.jpg
20010703a,2001 미메시스 영상미술제,넘나들기,other,곽은숙,나혜석괴담,필름에 에칭,00:03:22,2001,https://neolook.com/archives/2001070302a.jpg
20010704a,노석미展 / NOHSEOKMEE / 盧石美 / painting,악수하기,solo exhibition,노석미,어렵지 않아요,종이에 연필,13×50cm,2001,https://neolook.com/archives/2001070401a.jpg
20010704a,노석미展 / NOHSEOKMEE / 盧石美 / painting,악수하기,solo exhibition,노석미,후렌치후라이,종이에 실크스크린,22×35cm,2001,https://neolook.com/archives/2001070402a.jpg
20010705a,디자인모임 사과나무展,사과나무*** 첫번째 사과나무를 심다,exhibition,김은성,47-01 貴童女,비디오 영상,00:15:00,2001,https://neolook.com/archives/2001070501a.jpg
20010705a,디자인모임 사과나무展,사과나무*** 첫번째 사과나무를 심다,exhibition,백재훈,일러스트 글자,비디오 영상,00:01:22,2001,https://neolook.com/archives/2001070503a.jpg
20010705a,디자인모임 사과나무展,사과나무*** 첫번째 사과나무를 심다,exhibition,염동철,새만금 갯벌의 하루 체험,비디오 영상,00:33:30,2001,https://neolook.com/archives/2001070504a.jpg
20010706a,2001_0701 ▶ 2001_0710,SOMETHING OR NOTHING,other,안세은,People,점토에 아크릴,가변치수,2001,https://neolook.com/archives/2001070601a.jpg
20010706a,2001_0701 ▶ 2001_0710,SOMETHING OR NOTHING,other,주영신,It is Trifle,벽에 비닐,Ø 250cm,2001,https://neolook.com/archives/2001070602a.jpg
20010708a,1부 / 2001_0704 ▶ 2001_0710,Personal Color_New Color New Work,other,김요한,L.A and I in 1999,컬러인화,16×20inch,1999,https://neolook.com/archives/2001070802a.jpg
20010708a,1부 / 2001_0704 ▶ 2001_0710,Personal Color_New Color New Work,other,한성수,무제,시바크롬L-type,19×19cm,1999,https://neolook.com/archives/2001070803a.jpg
20010710a,김은희 영상展,안(內)에서 자라다,exhibition,김은희,어두움,외부의 강한 힘,단채널 비디오 영상,2001,https://neolook.com/archives/2001071002a.jpg
20010711a,김형섭 사진展,Sympathies,exhibition,김형섭,Sympathies,컬러인화,150×120cm,2001,https://neolook.com/archives/2001071101a.jpg
20010711a,김형섭 사진展,Sympathies,exhibition,김형섭,Sympathies,컬러인화,150×120cm,2001,https://neolook.com/archives/2001071102a.jpg
20010713a,책임기획_김혜경,디아나의 노래,other,아타김,Museum Project #133,컬러인화,100×120cm,2001,https://neolook.com/archives/2001071301a.jpg
